timestep,weekday,yearday,holiday_-2,holiday_-1,holiday_0,holiday_+1,holiday_+2,resident_pop,tourist_pop,temp_min,temp_max,prec_prob,wind_speed
2381.0,6.0,184.0,0.0,1.0,1.0,0.0,0.0,1232361.6022099447,2267625.3870967743,20.0,32.0,0.0,1.0
2382.0,0.0,185.0,1.0,1.0,0.0,0.0,0.0,1232407.403314917,2264799.580645161,20.0,33.0,0.0,2.0
2383.0,1.0,186.0,1.0,0.0,0.0,0.0,0.0,1232453.2044198895,2261973.7741935486,22.0,37.0,0.0,0.0
2384.0,2.0,187.0,0.0,0.0,0.0,0.0,0.0,1232499.0055248619,2259147.9677419355,22.0,34.0,1.0,1.0
2385.0,3.0,188.0,0.0,0.0,0.0,0.0,1.0,1232544.8066298342,2256322.1612903224,22.0,33.0,0.0,2.0
2386.0,4.0,189.0,0.0,0.0,0.0,1.0,1.0,1232590.6077348066,2253496.35483871,21.0,34.0,1.0,1.0
2387.0,5.0,190.0,0.0,0.0,1.0,1.0,0.0,1232636.408839779,2250670.5483870967,19.0,31.0,0.0,1.0
2388.0,6.0,191.0,0.0,1.0,1.0,0.0,0.0,1232682.2099447513,2247844.7419354836,21.0,31.0,0.0,1.0
2389.0,0.0,192.0,1.0,1.0,0.0,0.0,0.0,1232728.0110497237,2245018.935483871,21.0,30.0,0.0,1.0
2390.0,1.0,193.0,1.0,0.0,0.0,0.0,0.0,1232773.812154696,2242193.129032258,20.0,31.0,1.0,2.0
2391.0,2.0,194.0,0.0,0.0,0.0,0.0,0.0,1232819.6132596685,2239367.3225806453,20.0,33.0,0.0,1.0
2392.0,3.0,195.0,0.0,0.0,0.0,0.0,1.0,1232865.4143646408,2236541.5161290322,23.0,37.0,0.0,0.0
2393.0,4.0,196.0,0.0,0.0,0.0,1.0,1.0,1232911.2154696132,2233715.709677419,20.0,34.0,2.0,1.0
2394.0,5.0,197.0,0.0,0.0,1.0,1.0,0.0,1232957.0165745856,2230889.9032258065,24.0,34.0,0.0,1.0
2395.0,6.0,198.0,0.0,1.0,1.0,0.0,0.0,1233002.817679558,2228064.0967741935,20.0,33.0,0.0,1.0
2396.0,0.0,199.0,1.0,1.0,0.0,0.0,0.0,1233048.6187845303,2225238.290322581,21.0,31.0,1.0,1.0
2397.0,1.0,200.0,1.0,0.0,0.0,0.0,0.0,1233094.4198895027,2222412.4838709678,21.0,31.0,0.0,4.0
2398.0,2.0,201.0,0.0,0.0,0.0,0.0,0.0,1233140.220994475,2219586.6774193547,21.0,33.0,1.0,3.0
2399.0,3.0,202.0,0.0,0.0,0.0,0.0,1.0,1233186.0220994474,2216760.870967742,21.0,32.0,1.0,0.0
2400.0,4.0,203.0,0.0,0.0,0.0,1.0,1.0,1233231.8232044198,2213935.064516129,20.0,32.0,0.0,1.0
2401.0,5.0,204.0,0.0,0.0,1.0,1.0,0.0,1233277.6243093922,2211109.258064516,22.0,29.0,1.0,3.0
2402.0,6.0,205.0,0.0,1.0,1.0,0.0,0.0,1233323.4254143646,2208283.4516129033,18.0,27.0,3.0,2.0
